category,brand,price,rating,burner_count,material,grid_material,oven_capacity,height,width,depth,image_path,product_url
اجاق گاز,هاکان,7790000,,پنج شعله,nan,nan,nan,nan,nan,nan,D:/اجاق گاز/image_48.jpg,https://www.digikala.com/product/dkp-15895199/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%AF%D9%88-%D8%AF%D8%B1%D8%A8-%D8%B5%D9%81%D8%AD%D9%87-%D8%A7%D8%B3%D8%AA%DB%8C%D9%84-%D8%A7%D9%BE%DA%A9%D8%B3%DB%8C-%D8%A8%D8%A7-%D8%AA%D8%B1%D9%85%D9%88%DA%A9%D9%88%D9%BE%D9%84/
اجاق گاز,اخوان,33260000,4.9,پنج شعله,nan,nan,94,90,nan,60,D:/اجاق گاز/image_50.jpg,https://www.digikala.com/product/dkp-11623726/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%AE%D9%88%D8%A7%D9%86-%D9%85%D8%AF%D9%84-m15-edtr/
اجاق گاز,هاکان,5130000,3.5,پنج شعله,ام‌دی‌اف,چدنی,nan,90,90,52,D:/اجاق گاز/image_51.jpg,https://www.digikala.com/product/dkp-14444899/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D9%BE%D9%86%D8%AC-%D8%B4%D8%B9%D9%84%D9%87-%DA%86%D9%87%D8%A7%D8%B1-%D8%AF%D8%B1-chm-gold-m5/
اجاق گاز,دنپاسر,5820000,2.3,پنج شعله,آهن,چدنی,nan,90,90,60,D:/اجاق گاز/image_52.jpg,https://www.digikala.com/product/dkp-10898050/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%AF%D9%86%D9%BE%D8%A7%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-den21/
اجاق گاز,اسنوا,26450000,3.9,nan,nan,nan,nan,86,nan,60,D:/اجاق گاز/image_53.jpg,https://www.digikala.com/product/dkp-14223769/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sgc5-31112/
اجاق گاز,هاکان,5320000,3.0,پنج شعله,ام‌دی‌اف,چدنی,nan,90,90,52,D:/اجاق گاز/image_54.jpg,https://www.digikala.com/product/dkp-13251594/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D9%BE%D9%86%D8%AC-%D8%B4%D8%B9%D9%84%D9%87-%DA%86%D9%87%D8%A7%D8%B1-%D8%AF%D8%B1/
اجاق گاز,اخوان,30750000,4.5,پنج شعله,nan,nan,94,90,nan,60,D:/اجاق گاز/image_55.jpg,https://www.digikala.com/product/dkp-11636928/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%AE%D9%88%D8%A7%D9%86-%D9%85%D8%AF%D9%84-m13-edtr/
اجاق گاز,دنپاسر,5504000,3.5,پنج شعله,nan,چدنی,nan,90,90,60,D:/اجاق گاز/image_56.jpg,https://www.digikala.com/product/dkp-14833127/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%AF%D9%86%D9%BE%D8%A7%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-uniqeb/
اجاق گاز,دنپاسر,6174000,3.0,پنج شعله,آهن,چدنی مربع,nan,90,60,60,D:/اجاق گاز/image_57.jpg,https://www.digikala.com/product/dkp-17484982/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%AF%D9%86%D9%BE%D8%A7%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-den3k/
اجاق گاز,آکورد,8950000,,پنج شعله,شیشه نشکن,nan,nan,13,nan,50,D:/اجاق گاز/image_58.jpg,https://www.digikala.com/product/dkp-17301181/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A2%DA%A9%D9%88%D8%B1%D8%AF-%D9%85%D8%AF%D9%84-5005/
اجاق گاز,هاکان,4655000,3.0,چهار شعله,MDF,چدنی,nan,90,59,50,D:/اجاق گاز/image_59.jpg,https://www.digikala.com/product/dkp-16778551/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-4-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%DA%86%D9%87%D8%A7%D8%B1-%D8%B4%D8%B9%D9%84%D9%87-%D8%AF%D9%88-%D8%AF%D8%B1%D8%A8-h-geerd/
اجاق گاز,هاکان,5415000,1.8,پنج شعله,nan,nan,nan,nan,nan,60,D:/اجاق گاز/image_60.jpg,https://www.digikala.com/product/dkp-12859379/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D9%BE%D9%86%D8%AC-%D8%B4%D8%B9%D9%84%D9%87-%DA%86%D9%87%D8%A7%D8%B1-%D8%AF%D8%B1/
اجاق گاز,هاکان,4845000,5.0,چهار شعله,MDF,چدنی,nan,90,59,50,D:/اجاق گاز/image_61.jpg,https://www.digikala.com/product/dkp-16818712/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-4-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D8%AF%D9%88-%D8%AF%D8%B1%D8%A8-thter-padys/
اجاق گاز,اسنوا,12571000,4.0,پنج شعله,استیل,nan,nan,7,nan,50,D:/اجاق گاز/image_62.jpg,https://www.digikala.com/product/dkp-16200018/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-ss-195100/
